age,income,loan_amount,loan_term_months,credit_history_length,number_of_dependents,employment_status,property_owned,default
46,12824.9603730021,1604.7112569583264,18,22,1,unemployed,rent,0
43,11340.572399130802,8005.083002436856,51,12,2,salaried,own,0
29,21852.926879958402,37372.383370342875,39,12,4,salaried,own,0
32,33693.05441515734,12963.918827091496,50,0,5,self-employed,mortgage,1
21,34127.47069552546,30302.44674910873,50,1,4,salaried,rent,0
21,26319.97507952959,19870.027538328453,39,0,4,salaried,rent,0
54,22569.10961643405,42885.483161163815,25,23,0,retired,own,0
52,28449.0155043583,47668.34999383554,49,4,3,self-employed,own,0
45,14361.908573739422,44294.67169013933,15,23,2,retired,mortgage,0
60,51199.95496885671,14260.379739986236,53,2,3,salaried,rent,0
65,50866.976949034135,10513.980583258031,29,28,0,self-employed,own,0
21,27293.562767604548,24247.309787416016,55,27,2,salaried,mortgage,0
36,24310.173639323046,1359.3733909728335,59,6,2,salaried,rent,0
59,17931.056952137274,2264.660250295905,36,23,1,salaried,own,0
25,28692.0231158197,28111.241341527002,18,21,3,salaried,own,0
42,15589.319549386435,26502.02080409901,49,12,3,salaried,own,0
49,7245.9211135695095,49734.51746272774,39,28,1,salaried,own,0
23,5670.01107370599,10890.249932824147,16,22,4,salaried,rent,0
32,14768.485530726872,13647.092528862953,14,29,0,self-employed,own,0
46,23817.81386618216,6563.491473988048,55,27,3,salaried,mortgage,0
36,26003.48553291377,45959.60747303349,42,17,1,salaried,mortgage,0
57,17268.192350531866,39112.750978464086,58,23,2,salaried,own,0
42,23645.251312063774,41294.61646138553,53,20,5,salaried,own,0
49,19204.229524159433,45235.42561026093,31,6,1,self-employed,mortgage,0
34,13364.31830351048,26720.099349566073,30,0,5,salaried,rent,1
48,21442.447093931358,23108.46638108546,59,4,4,self-employed,rent,0
25,33073.19968412757,17189.18220961521,22,16,0,salaried,own,0
50,13670.139385619503,29871.51610304492,51,27,5,salaried,own,0
25,13673.264290447003,23259.641442701304,14,28,4,unemployed,rent,0
32,12905.059245328912,23126.71374367318,34,7,5,self-employed,mortgage,0
36,8364.40626772578,46909.4653228258,18,14,2,salaried,own,0
46,17324.878532570605,49217.54419967738,34,19,2,unemployed,mortgage,0
46,31477.965007964107,40027.73507714946,18,3,2,salaried,own,0
41,24027.59022870456,38081.14642209949,57,1,2,unemployed,mortgage,0
59,20239.158733189728,34347.34992717597,45,4,1,self-employed,rent,0
56,23494.75301206476,9137.667764342172,53,0,2,self-employed,own,0
53,17248.996662677473,3896.185222907072,30,24,2,retired,rent,0
50,8316.99824926816,34845.58944054989,20,4,1,salaried,own,0
57,32593.214154162146,36710.524890572226,59,5,2,self-employed,own,0
43,37630.203326910545,3301.67656380885,29,1,4,salaried,own,0
30,15304.797372119147,46474.535761213556,52,25,4,salaried,own,0
25,20426.374035322115,5465.8913327892,59,25,3,salaried,own,0
56,19565.05634386523,15009.126154788917,56,0,4,salaried,rent,0
54,26255.8579917203,33947.10082713652,53,3,0,self-employed,rent,0
51,51274.39215758109,9323.75712581934,36,6,0,salaried,own,0
30,39336.00840031689,3715.378533669977,25,21,0,salaried,mortgage,0
39,18243.112441165187,17226.17796904334,55,25,1,salaried,rent,0
52,28889.455061442946,38532.60716790378,36,0,4,salaried,mortgage,0
21,41240.59782578427,21270.255270277758,30,0,0,retired,rent,0
25,27015.676353824332,32995.67317348903,50,7,3,salaried,own,0
65,21974.77091679722,29401.335764178697,26,19,1,self-employed,own,0
24,27529.131420094,2088.70561925344,27,15,3,self-employed,rent,0
36,15496.418918815092,49438.45936523963,38,20,4,self-employed,own,0
44,16669.89101528228,3029.97635215,51,12,2,salaried,own,0
36,12938.761886854372,48422.33414477576,21,22,3,unemployed,own,0
22,25681.65642577739,27943.34473985551,15,23,2,salaried,own,0
48,20625.811316543015,48194.79232618826,30,25,1,unemployed,own,0
52,14595.09758304711,6622.926371277937,39,22,3,salaried,own,0
47,20290.545024515024,25030.01744009015,32,17,3,salaried,own,0
40,27861.445499209505,9305.700501436873,58,29,5,salaried,rent,0
44,57374.552800116886,3497.768974099678,25,19,1,self-employed,rent,0
32,36535.29038595975,31258.926638053268,44,9,1,salaried,own,0
55,7029.888128662602,11181.38762712288,59,11,0,salaried,own,0
53,24826.18528542827,29797.153896089752,21,0,4,salaried,own,0
53,45010.99766083244,6505.859615500296,30,9,3,retired,own,0
63,11283.121938933302,17267.337100202436,41,8,3,unemployed,own,0
57,29021.134955739457,39299.99534460911,33,2,1,salaried,own,0
32,19568.548876547382,22415.524570267196,14,27,1,self-employed,rent,0
23,39149.59143426384,31759.52532996948,48,18,4,salaried,rent,0
21,26960.5131205568,32725.43909653175,52,25,1,salaried,own,0
53,14157.393461425328,42343.99715537739,29,8,2,retired,own,0
60,19921.887105325797,16921.216925925422,22,9,2,salaried,rent,0
30,20519.93562253022,34677.48256654336,59,18,5,salaried,mortgage,0
63,20710.806425932984,48119.17454526212,13,15,2,salaried,rent,0
64,38546.91972349064,36781.92338353553,23,23,2,salaried,rent,0
49,14453.473413687641,25003.653359169482,17,17,4,salaried,own,0
33,36370.949882222325,31905.15478010453,54,13,3,salaried,own,0
32,18937.0417140214,37244.4619903923,51,28,2,salaried,mortgage,0
51,24630.863593431077,31001.51251899975,55,2,5,salaried,own,0
22,22838.175827673713,1817.1148610021185,40,1,1,salaried,mortgage,0
55,21787.622906484125,10543.901386674066,41,0,2,salaried,rent,0
43,21877.16292211355,40712.942643557835,13,17,5,salaried,rent,0
37,45646.36609022493,14359.88171831175,20,23,4,self-employed,own,0
46,33564.524255754186,36846.54385849556,58,8,1,salaried,rent,0
28,18373.085996686856,19233.890546843235,13,12,5,self-employed,own,0
49,48600.72011991665,26572.332079739215,40,1,2,self-employed,own,0
46,25269.174609720576,4330.6916911507815,44,6,3,self-employed,own,0
30,26339.161199321694,9880.052491435768,21,15,1,salaried,mortgage,0
46,14491.832014337451,47902.65121244249,45,20,1,salaried,rent,0
54,17175.696524038896,44616.764618898786,55,18,3,salaried,own,0
61,15611.268091249869,32961.48043405346,19,24,1,self-employed,own,0
27,22995.100086479903,23522.58527190113,48,14,2,salaried,rent,0
24,30314.806627848713,34112.303351865965,44,21,1,unemployed,rent,0
65,26465.999480687107,31311.90416560301,58,10,2,unemployed,rent,1
31,48728.6327624524,28859.06052462599,17,0,3,salaried,rent,0
49,14130.925852175762,3899.676521313549,55,20,0,salaried,own,0
56,23328.5805702518,32007.32792241384,51,6,3,self-employed,rent,0
45,11597.331822682052,38677.08218398725,56,19,2,salaried,own,0
41,13891.945825951176,49710.0010776332,30,7,4,salaried,mortgage,0
56,41451.907908893394,1542.849077121174,43,9,3,unemployed,rent,0
30,17473.095322905032,36778.499212223156,38,4,4,salaried,own,0
57,14739.969580010544,29017.676480863043,12,8,4,retired,own,0
29,7593.224095480104,22268.55662796688,54,24,2,self-employed,mortgage,0
44,14666.520761533458,7250.938553997173,44,24,2,self-employed,own,0
55,19877.82092735009,21045.172283108936,51,0,0,salaried,own,0
55,11173.481427674627,18364.48196632063,43,1,5,salaried,rent,0
56,19314.44046044278,15838.664559958368,16,18,1,salaried,own,0
38,41577.54556001821,36813.10154278818,28,13,3,salaried,rent,0
59,15465.19555177955,35335.550542928926,19,19,2,salaried,own,0
52,13743.324239127998,29861.984458064668,53,9,3,salaried,rent,0
44,12557.197254169385,46994.57585137524,45,8,5,salaried,own,0
43,12445.544343017782,18142.86482486187,20,9,5,salaried,own,0
52,28790.153734346266,12946.294947798799,34,28,4,self-employed,mortgage,0
57,22569.040764462403,33139.26234182158,46,5,1,salaried,rent,0
32,35540.5095736549,10741.888985932745,18,16,0,salaried,own,0
33,60470.98521912113,16435.514851987806,26,27,3,self-employed,own,0
43,8820.24065737643,12005.519563669357,31,24,1,retired,rent,0
45,26636.54313995714,4388.524818206561,36,5,0,salaried,rent,0
55,12590.405476856677,41547.43834014799,14,3,3,salaried,mortgage,0
61,32677.74842696576,13472.486603161398,57,29,1,salaried,mortgage,0
50,19226.48432514243,24178.347663808014,35,19,2,retired,rent,0
37,22329.442551858938,3122.4483894612854,45,2,3,self-employed,own,0
40,11595.95125044368,35267.63384637951,57,22,1,self-employed,own,0
45,17797.023219644136,17197.48911300825,33,18,5,salaried,rent,0
42,23036.40628784624,37492.099663631285,22,17,0,salaried,own,0
33,43392.37760330881,21207.74996292544,59,25,1,salaried,own,0
39,14804.992534729154,10592.024713875606,19,23,2,self-employed,own,0
56,16724.90515678141,26145.579031819758,50,3,3,self-employed,own,1
32,35317.88673952562,7394.72342223455,54,7,3,retired,own,0
61,14333.143448637273,22586.41883377674,46,16,3,salaried,own,0
39,38995.15052966551,16547.968393603842,57,4,2,salaried,rent,0
32,21926.620216430518,45686.01962578203,49,12,0,salaried,own,0
29,25631.09343597454,3985.5073643152773,19,24,3,self-employed,own,0
27,26469.83736970737,35006.85329118136,48,0,0,self-employed,own,0
48,16185.802098889479,9954.80713338436,38,26,1,salaried,rent,0
34,26767.49105172722,16633.20864227975,39,12,5,salaried,own,0
51,14970.17410853724,21360.189090041233,51,3,5,salaried,rent,0
39,17136.200582561207,45492.739379373736,45,21,0,salaried,mortgage,0
36,29124.804634484262,12886.335037617433,43,25,0,unemployed,own,0
25,25506.713673835457,5474.131324688841,26,23,5,salaried,own,0
55,21216.14069638366,16615.790595535655,55,13,3,self-employed,own,0
32,11738.557031205657,6129.122556241134,28,2,4,salaried,mortgage,0
45,13298.690561298004,7301.227812067073,44,4,4,self-employed,rent,0
41,25294.810167465508,29118.679300776308,58,6,2,salaried,mortgage,0
56,31763.410139339903,3984.194721875173,57,0,5,unemployed,own,0
43,12647.024482840634,2515.6131882847358,27,22,5,salaried,mortgage,0
36,14473.68390356333,36006.29097205439,40,28,2,salaried,own,0
59,23554.981060721006,18720.70764721118,20,11,4,salaried,own,0
65,23304.31769803018,7143.392112459791,44,10,1,salaried,mortgage,0
62,9779.282493057362,13427.025772125704,40,23,3,salaried,mortgage,0
59,23879.640351125625,32462.238860267553,24,7,3,salaried,own,0
34,16330.929349113681,14501.291789901708,32,24,1,retired,own,0
51,50037.265402916084,25231.53513089999,32,5,1,salaried,own,0
25,24949.25575729503,6963.070029606942,16,27,4,self-employed,own,0
55,27193.59441056044,29816.5882426669,21,21,2,retired,own,0
43,27547.84668012406,16487.80650831994,17,1,1,salaried,mortgage,1
49,12004.493411914293,31721.45329190711,24,18,2,self-employed,rent,0
63,58217.33528819124,40611.34923289712,12,19,0,salaried,rent,0
31,9784.398206213269,30970.67455010963,31,19,3,salaried,rent,0
38,32789.10487837453,15491.630567156013,58,23,4,salaried,rent,0
32,30011.381401273306,13531.44137586672,57,13,3,retired,rent,0
29,17352.620475871998,17043.626977938955,19,0,4,salaried,rent,0
30,30737.08418075635,9066.405148588738,21,9,0,salaried,own,0
64,18792.505027680487,9877.420691650983,20,15,3,salaried,rent,0
37,15713.402311091284,39743.86399310823,52,29,0,unemployed,rent,0
58,27855.329309927787,19851.896248864803,14,3,4,salaried,mortgage,0
27,13315.972113144455,22363.763847958708,22,26,1,self-employed,mortgage,0
33,19690.123042959047,30108.423812773748,23,27,3,self-employed,own,0
60,16365.187195391887,29893.021262425835,21,28,0,self-employed,rent,0
62,18620.34809265527,4301.466704574361,36,10,5,retired,own,0
29,27347.059806454683,41745.498530545614,36,15,3,unemployed,rent,0
47,16363.635655956903,9689.001107973032,22,26,3,salaried,own,0
22,20007.01104713623,36430.51016643377,47,19,3,salaried,own,0
25,17127.272825295186,38860.87841828016,50,0,2,salaried,own,0
49,45342.42161629276,36030.07717047437,37,15,0,salaried,rent,0
57,26142.201392507523,29369.904681153115,25,18,0,salaried,own,0
58,24588.51680723866,1715.8408583352602,50,20,3,salaried,mortgage,0
39,30998.96985129392,18658.399125795364,51,21,1,salaried,own,0
28,16365.532274999598,30637.13203876648,12,8,3,retired,mortgage,0
65,33847.77728427809,19985.113500204396,15,8,2,salaried,rent,0
21,26188.84597393473,43310.51485072784,41,8,4,retired,own,0
42,10092.567578555338,16131.311492131152,23,26,2,salaried,own,0
37,10785.787599352034,15383.20483047436,46,16,1,self-employed,rent,0
27,16545.202731300607,14033.88696154024,24,11,3,unemployed,rent,0
45,11378.68050162822,17306.262579078983,42,24,0,salaried,rent,0
65,19552.54565855159,28312.84325139517,49,12,5,salaried,own,0
24,13268.273379675325,35643.74941935695,54,7,3,salaried,own,0
56,20976.089514454186,33465.82796920047,34,15,1,salaried,mortgage,0
26,44616.30650834785,40578.173179092504,15,17,0,retired,own,0
51,21489.32433462121,44409.78577937382,27,28,2,unemployed,own,0
39,18930.275023581293,40987.87307482421,18,26,4,salaried,own,0
64,26745.49491886041,1928.324765343374,33,0,4,salaried,rent,0
59,15549.59859641294,37059.97972404745,40,0,3,salaried,rent,0
47,33580.712711715285,11211.579107298248,22,11,2,salaried,own,0
30,28214.92794346301,7513.474092691149,44,5,5,self-employed,own,0
46,22458.687312719165,32285.95045515764,40,8,5,salaried,own,0
39,23793.266889133047,16667.41657497705,50,22,1,salaried,own,0
59,61137.0262127331,3798.7410051517195,23,4,4,salaried,own,0
23,35282.9846383069,7743.856985519706,18,26,2,salaried,mortgage,0
65,66155.50033904746,1045.541426628092,50,15,3,self-employed,own,0
33,28739.136002746905,45257.957739890655,53,17,0,salaried,own,0
48,10552.882018051614,2206.281208220691,59,16,3,retired,mortgage,0
40,19320.329231091517,11263.332705966042,37,17,3,unemployed,own,0
48,9413.476038542352,21396.876253707458,51,0,2,salaried,rent,0
28,28685.628216912493,18471.994971590135,20,18,4,salaried,own,0
61,31974.759300321355,45674.56796872601,52,21,2,unemployed,own,0
59,14143.946495370876,2974.1583409925634,45,28,0,retired,mortgage,0
21,15869.93646705977,26098.520676175525,56,7,2,unemployed,rent,0
23,23727.154912429713,34343.493663694324,24,2,1,salaried,own,0
33,12099.845566060549,46653.20071037727,47,25,3,retired,rent,0
48,11654.179096268917,31398.191354062328,36,24,4,salaried,mortgage,0
45,40917.6186871307,40384.006564576375,35,25,5,self-employed,own,0
53,23326.73272387769,5102.521954422072,55,4,0,retired,rent,0
58,16662.989162528273,19911.03603590944,28,22,5,salaried,mortgage,0
26,9451.611695379062,19323.409589474304,13,7,3,retired,own,0
64,33731.10468879607,44428.122606330166,24,18,2,salaried,rent,0
65,15642.406865129427,8417.187391900472,42,17,5,retired,rent,0
52,55845.38801019328,8442.422444494883,40,17,1,salaried,rent,0
65,33848.672107684746,17099.349344404123,39,20,2,retired,own,0
41,14704.797393086405,3668.8363209750414,38,0,3,salaried,own,0
36,15402.177144581414,9940.443991972012,26,14,5,self-employed,rent,0
41,52100.27893011655,48295.27228874102,42,17,0,salaried,own,0
31,21117.77277611001,21981.013053491468,51,28,5,salaried,own,0
57,17040.435981730705,31968.941212699385,26,24,5,salaried,own,0
56,22333.89691168765,36579.45170788721,44,6,4,self-employed,own,0
55,17001.27593077071,18981.108943352825,31,15,5,salaried,mortgage,0
39,24847.793592636484,8214.126646115332,53,15,3,salaried,own,0
40,21207.033812506015,11122.46979486726,23,14,0,salaried,mortgage,0
38,34123.92363832533,16350.057352449907,48,5,3,retired,own,0
61,18137.065633623537,32167.352597259058,20,8,1,salaried,rent,0
34,14151.725182370106,20515.746905363667,34,6,2,salaried,own,1
35,18499.660354620984,1333.9201971062778,19,13,5,salaried,rent,0
51,18443.329712242135,26646.95206830612,43,10,4,salaried,rent,0
21,21188.907495934913,46154.15620346348,59,20,0,salaried,own,0
23,30250.565092509245,40791.80293942527,25,15,4,salaried,mortgage,0
36,29435.434530730676,41435.35719172192,38,24,4,unemployed,own,0
43,40127.98852085321,39957.842862700425,36,5,4,self-employed,rent,0
31,14680.203451012048,16862.81045491076,24,21,5,salaried,mortgage,0
32,26751.8808372568,38494.49785396521,32,26,0,salaried,mortgage,0
30,31686.941138093745,8014.906532748457,56,15,0,self-employed,mortgage,0
52,15723.155805856099,33228.09121652172,42,19,4,salaried,own,0
36,19854.470473088662,32436.859767564725,48,28,2,self-employed,own,0
28,9182.098597593105,2252.920155396999,59,15,5,salaried,own,0
58,34663.025405638,39610.53654595565,54,11,5,salaried,rent,1
32,19776.524833974607,45259.1571496614,16,16,3,salaried,rent,0
44,32967.65104617743,14103.348645133276,24,4,5,unemployed,own,0
48,24416.75263127349,40807.14548512139,39,26,4,salaried,rent,0
28,20078.75129790223,5037.892621235462,54,24,1,salaried,own,0
48,9932.809031054521,30398.425054792235,36,12,4,salaried,own,0
56,10856.548167226745,24796.69640137958,46,7,0,self-employed,rent,0
46,6023.518932626459,27750.253132141,58,23,5,retired,own,1
28,16625.505292328035,46384.05489233291,50,4,5,salaried,mortgage,0
48,68811.37548395542,43694.44711509582,18,11,3,salaried,own,0
48,11568.328082877844,39469.0992047481,49,8,1,retired,rent,0
57,5909.30826251478,14411.224426240178,43,2,5,salaried,own,0
61,35643.941225236646,45679.11280561849,14,2,3,salaried,own,0
56,71815.73882089539,5777.876930729887,56,0,3,salaried,rent,0
47,25564.514911687744,42813.1316113806,50,24,1,self-employed,mortgage,0
37,25447.332353274352,17079.84354532678,48,21,4,salaried,own,0
29,18864.91191536493,3634.843271437185,33,17,4,unemployed,own,0
53,8981.043747222328,33798.49222779667,19,23,4,salaried,rent,0
40,10664.16187296082,12332.716487481817,28,11,2,salaried,own,0
33,18800.21030705105,12934.985167366964,38,8,4,self-employed,mortgage,1
48,17081.859475146895,15996.311145209802,44,8,1,salaried,rent,0
49,20793.870528165553,4120.55360762332,57,17,2,salaried,own,0
33,33344.97655506112,9679.230065714448,28,17,4,self-employed,own,0
55,16466.46362623817,1251.8417516924549,53,28,2,unemployed,rent,0
26,33686.699949935624,22825.066534183552,23,6,1,unemployed,own,0
38,16520.464185045937,5128.513493480593,59,26,4,retired,rent,0
25,37016.528068323794,34449.97764716575,57,3,0,unemployed,own,0
45,22998.488688040517,12545.519708390771,38,12,5,salaried,rent,0
22,17713.54410365503,47235.13305772368,59,16,1,salaried,own,0
30,22802.991905855295,43691.32974253398,19,23,3,unemployed,mortgage,1
50,19019.700300832523,15182.603853442204,34,1,3,salaried,own,0
65,23308.35406465843,39377.55727817726,53,13,1,self-employed,own,1
25,32178.477236993618,40359.00032857551,40,2,3,self-employed,mortgage,0
53,21086.582164141582,49341.59259160611,31,4,1,salaried,own,0
21,18310.236857944346,30294.15935543856,27,13,0,retired,own,0
38,12559.61639233949,5016.3209975394475,28,2,1,salaried,own,0
52,29424.678607704092,32695.024217392667,27,22,4,salaried,own,0
31,26216.286354284097,31624.007670425726,30,6,4,retired,mortgage,0
41,12198.015755920846,32279.17829360116,19,29,2,salaried,rent,0
46,33447.995515425595,16050.136757106364,49,17,3,salaried,own,0
45,12099.361767412262,43124.29966893631,49,12,5,salaried,rent,0
42,36849.99992628027,48014.13696481518,40,28,3,unemployed,rent,0
47,31067.938922048797,11667.913135929424,52,22,1,self-employed,mortgage,0
33,27169.023497281098,5319.455748695578,47,26,5,self-employed,own,0
53,18242.374214322717,10532.21662525572,37,21,5,self-employed,rent,0
54,29374.725047960535,41207.05482353022,42,9,3,salaried,rent,0
61,37729.06372892311,34155.58710617253,55,24,5,unemployed,own,0
55,29619.13726289526,32166.319774617205,23,12,5,unemployed,own,0
21,15754.400296480408,20687.8636203618,28,15,4,salaried,own,0
41,25177.436393039992,29313.57060406035,26,8,0,salaried,rent,0
26,38793.868824877856,16085.832138444004,20,1,1,retired,own,0
48,66141.32967489911,24382.803891480104,50,22,3,unemployed,mortgage,0
37,19878.48982425478,39860.08839016214,53,4,4,unemployed,own,0
25,33824.52983667168,49080.83827531764,59,28,2,unemployed,rent,0
51,38841.33369671495,46691.95725590029,23,21,5,salaried,mortgage,0
25,14673.486437053409,46759.43119946619,43,16,5,self-employed,rent,0
58,53693.0666248976,20708.963007508508,36,22,3,salaried,mortgage,0
23,12931.321334977349,23970.704144832755,50,21,0,salaried,mortgage,0
43,33007.58813552724,35576.1344220801,29,3,0,self-employed,own,0
57,25659.262326759726,46187.40447451293,26,16,3,salaried,rent,1
57,22647.115685504883,7957.718708252148,43,8,3,self-employed,own,0
30,78701.43285033519,15907.851327532591,17,19,4,salaried,rent,0
30,18946.459936805266,7823.095385111366,55,1,3,salaried,own,0
39,18794.64379372076,30988.41796801331,54,23,2,salaried,rent,0
37,42861.93451566969,16008.74884748934,46,17,4,salaried,rent,0
41,32238.02350429964,16979.284773116102,45,20,5,salaried,own,0
34,41816.63310265048,4474.882014910983,49,26,5,salaried,own,0
29,23351.924774843203,18140.007028572003,16,21,5,retired,mortgage,0
21,25808.81317491604,43262.328862677685,29,10,5,salaried,own,0
65,56980.69507165755,12420.567782650913,27,12,1,salaried,own,0
33,14501.726063840513,35064.18584429322,19,7,2,salaried,own,0
24,20922.10381627738,31851.78890199104,36,26,4,self-employed,mortgage,0
21,32830.952911706016,43310.74581008665,43,0,4,salaried,mortgage,0
60,19971.66084507795,7482.109434900874,37,16,5,self-employed,rent,0
52,16563.00810603899,48901.908056907116,33,11,0,self-employed,mortgage,0
54,30008.689130575985,29548.803655977914,42,3,4,salaried,own,0
48,42954.76366969672,49778.2334649939,54,20,2,salaried,mortgage,0
51,20528.774571805538,45664.22156742669,21,12,3,retired,own,0
28,20245.851545452082,11854.346333542184,23,28,2,unemployed,own,0
59,15933.1318949998,3751.938485262342,39,8,5,self-employed,own,0
46,18996.52939983655,13526.315595972716,17,26,5,salaried,rent,0
54,37865.77845057471,26850.618800971573,31,29,1,salaried,rent,0
23,22937.56951334372,9408.22198619431,16,6,4,salaried,own,0
32,14727.984485856146,9205.527481381438,34,22,4,salaried,mortgage,0
21,25114.011341809477,23667.083808152503,20,23,4,salaried,own,0
64,37257.07003863869,2630.1305872985627,40,4,5,self-employed,own,0
25,16631.556574977254,6972.516044081252,27,4,4,salaried,own,0
50,11335.530799426624,21377.20563098943,57,16,0,self-employed,rent,0
50,65868.3004640544,4093.3655511903567,33,29,0,unemployed,mortgage,0
37,11056.074948556581,20440.997766320936,19,8,3,salaried,own,0
43,18407.044398462516,24226.30703147381,31,5,4,unemployed,rent,0
35,24737.219627221843,23112.064089582607,25,24,1,salaried,own,0
57,19221.52741361422,43589.568012751275,50,18,3,unemployed,rent,0
41,21216.71466635389,26973.06029753489,48,15,5,salaried,mortgage,1
34,29390.27404904787,23931.042661424126,45,20,4,salaried,own,0
22,6661.761187502491,21124.753024191643,22,1,0,self-employed,mortgage,0
31,11690.744790959192,41063.545536919824,51,9,1,salaried,rent,0
59,22519.338164525703,44857.77359599182,44,15,3,retired,own,1
58,17995.760727712845,42808.88099065876,42,4,1,salaried,mortgage,0
54,23498.823361088394,34003.78232843815,55,14,4,salaried,own,0
58,24681.92914554659,7730.725552465037,45,12,2,salaried,own,0
54,7646.780604754796,14566.628505108602,18,12,1,salaried,own,0
38,41640.15170924204,3257.0901204168945,34,12,1,salaried,own,0
50,17169.09180928586,46610.37967451559,57,14,5,self-employed,mortgage,0
35,14288.973110171013,33379.12795485461,18,13,0,self-employed,rent,0
47,24444.91867081101,37571.78133134883,36,7,4,unemployed,mortgage,0
54,23238.835773145773,16267.015239529219,14,10,1,retired,own,0
58,40068.485590867516,42437.022591589775,49,17,4,salaried,own,0
53,25233.722702506653,13720.560901715447,31,23,0,self-employed,own,0
44,39302.97222027092,1080.5440985100345,45,3,5,salaried,rent,0
35,13779.142465844323,19444.333163514002,55,25,4,self-employed,mortgage,0
50,23645.557378941307,28967.3125669946,55,9,0,salaried,rent,0
62,12614.801760142798,24456.538040310603,41,0,0,retired,own,1
37,23128.89377764327,43241.73098625326,28,28,3,self-employed,mortgage,0
25,20803.073562464524,6164.85901185218,21,4,5,retired,rent,0
49,20360.48491450095,28137.348591052552,46,12,5,unemployed,own,0
24,20449.960375059825,26135.988141224465,31,0,4,retired,mortgage,1
30,31830.961752127896,14788.256126435988,29,22,2,unemployed,own,0
37,9860.776248228252,41289.177516273514,56,7,3,salaried,own,0
30,14046.184451723258,37889.58413822811,55,2,5,salaried,own,0
37,21584.14047301154,36910.100179259716,38,2,0,salaried,own,0
40,12218.035457355318,43933.431435208244,47,6,5,salaried,own,0
44,22540.23138570991,36416.445430454536,34,3,2,salaried,own,0
25,21473.475168655303,12360.223294021596,43,2,1,salaried,own,0
54,10917.493363406538,35572.57287083486,21,14,1,salaried,rent,0
26,10651.089079262187,16077.437856102348,22,7,5,retired,mortgage,0
22,5931.935809982773,12866.557867026057,49,2,5,retired,rent,0
33,11964.0903932572,4577.176052081739,17,28,3,salaried,own,0
63,22184.7773811264,37457.40043703616,52,29,5,salaried,own,0
63,23815.547709276078,35839.04713554075,58,6,2,salaried,own,0
31,24366.140906545723,12490.474406030593,45,17,5,salaried,own,0
43,14928.696714663984,37719.571819483645,47,10,4,self-employed,rent,0
36,21825.804861508142,45974.2032715841,48,10,2,salaried,rent,0
51,26866.147199157305,6293.418917087383,28,16,3,salaried,rent,0
31,11684.076667642632,12399.195280951973,51,27,4,unemployed,rent,1
36,23427.46983002147,37762.77891027846,51,5,4,unemployed,own,0
28,30584.254782336284,14450.827001846834,23,7,1,salaried,own,0
24,17233.560181676272,31608.534739902123,32,0,2,self-employed,rent,0
60,37463.30371223371,4977.046998722011,51,28,4,salaried,own,0
24,17435.83461560325,23157.921476073396,30,9,3,salaried,own,0
45,14327.980351997205,37215.4796776547,14,27,1,salaried,own,0
23,29097.879738247317,34639.18320911937,29,24,4,salaried,own,0
52,60879.202002223625,40938.53293311453,30,18,2,salaried,own,0
23,22986.832005169726,43995.15420355527,58,2,1,salaried,mortgage,0
47,30256.12438747093,38885.991561679155,17,3,2,self-employed,mortgage,0
49,17079.62291377613,33907.799404007375,27,10,2,self-employed,own,0
52,11839.443315988909,2554.402098985526,19,14,2,salaried,own,0
39,23935.85500036782,27213.366997062756,59,0,1,salaried,rent,0
41,25905.225546622347,2847.1885208277868,29,8,4,unemployed,own,0
25,18417.27671223305,40595.32303868511,59,10,5,salaried,own,0
38,30197.91795233685,16715.50169853792,54,18,0,retired,own,0
48,15882.291018679956,28559.039331778127,50,12,4,self-employed,own,0
62,14030.051826601759,14692.820058626228,23,25,1,salaried,rent,0
42,37433.50602061066,39342.507074634384,56,15,0,salaried,mortgage,0
41,37521.66630585271,44438.62380545322,21,3,0,salaried,own,0
26,16039.800554452933,20533.482216440134,18,0,0,salaried,own,0
21,52022.16960175457,43283.19728203846,57,19,5,salaried,own,0
25,19080.967547149317,14086.675365360286,12,12,3,self-employed,own,0
61,22980.27302514586,27198.385230700667,47,0,1,salaried,mortgage,0
32,21113.622538391086,43079.31006209649,32,4,5,salaried,rent,0
46,28620.545376823065,16968.18578817373,48,4,5,salaried,rent,0
54,25228.024701174,47748.0709888262,35,13,3,salaried,rent,0
34,25058.818507512224,6972.095587287798,36,26,0,salaried,mortgage,0
46,13229.694748142421,1895.4784164518055,18,22,3,salaried,mortgage,0
65,9468.434316317285,45302.632276331344,53,13,3,salaried,own,0
47,38990.761565957684,4363.78464124574,28,7,5,self-employed,own,0
29,16768.82858451956,49602.57060142709,40,3,1,salaried,rent,0
46,21493.015766754437,47618.4462369762,41,6,2,self-employed,own,0
42,25936.316705636862,7714.024591779713,18,19,3,salaried,mortgage,0
50,49737.01988321818,27341.646658935726,44,18,3,salaried,rent,0
63,23877.191753310843,10061.094575890073,18,14,0,salaried,mortgage,0
37,18080.715703584778,21979.603478475874,35,21,0,self-employed,own,0
46,16953.46996162064,4009.8313337318014,22,3,5,salaried,mortgage,0
56,21618.86472438564,11972.304802032886,20,29,0,salaried,own,0
21,13979.085729395896,18800.367023546078,23,18,4,salaried,mortgage,0
28,22346.787676130647,22493.727512056685,46,8,3,salaried,own,0
55,21460.947256427677,48897.316652235764,15,20,0,salaried,rent,0
35,50049.283768539215,40585.41663851508,47,12,1,self-employed,rent,0
